Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR6357070,2018-12-21 10:48:20,2017-12-07 11:50:09,47629288,9621116176,47629288,202,3367,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR006/357/SRR6357070.sralite.1,SRX3453465,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP126328,PRJNA421472,3,421472,SRS2742168,SAMN08143838,simple,4932,Saccharomyces cerevisiae,GSM2879618,,,,,,,no,,,,,GEO,SRA636791,,public,ECBB088D1093A518BC6234CA304041E9,83416EF3CCCAA202F6BD7263DE80F8E3
SRR6357071,2018-12-21 10:48:20,2017-12-07 11:55:25,68628914,13863040628,68628914,202,4796,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR006/357/SRR6357071.sralite.1,SRX3453466,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP126328,PRJNA421472,3,421472,SRS2742169,SAMN08143837,simple,4932,Saccharomyces cerevisiae,GSM2879619,,,,,,,no,,,,,GEO,SRA636791,,public,0DA68F01A3EB8260FA9D981EDB7BB7C5,95CFE0E502FAAE5D4ECCAF7C8E89D9B3
SRR6357072,2018-12-21 10:48:20,2017-12-07 11:45:30,54771596,11063862392,54771596,202,3727,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR006/357/SRR6357072.sralite.1,SRX3453467,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP126328,PRJNA421472,3,421472,SRS2742170,SAMN08143836,simple,4932,Saccharomyces cerevisiae,GSM2879620,,,,,,,no,,,,,GEO,SRA636791,,public,3CC698D609B4705F75D24F96AF8BB0DE,91D2F1EA7FEBAAA0B75EE034914EDA2A
SRR6357073,2018-12-21 10:48:20,2017-12-07 11:52:51,56006930,11313399860,56006930,202,3926,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR006/357/SRR6357073.sralite.1,SRX3453468,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP126328,PRJNA421472,3,421472,SRS2742172,SAMN08143835,simple,4932,Saccharomyces cerevisiae,GSM2879621,,,,,,,no,,,,,GEO,SRA636791,,public,BD400F793278949AD34BBD721C780AEB,73F37B298983901BA113B1691F6DE7EB
SRR6357074,2018-12-21 10:48:20,2017-12-07 12:13:59,56259979,11364515758,56259979,202,3962,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR006/357/SRR6357074.sralite.1,SRX3453469,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP126328,PRJNA421472,3,421472,SRS2742171,SAMN08143834,simple,4932,Saccharomyces cerevisiae,GSM2879622,,,,,,,no,,,,,GEO,SRA636791,,public,16819AD1AAD564B7783E533E09CFBD6D,2703A1F30D73C4A1D060AF97EBFF05CF
SRR6357075,2018-12-21 10:48:20,2017-12-07 11:59:05,51876040,10478960080,51876040,202,3525,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR006/357/SRR6357075.sralite.1,SRX3453470,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP126328,PRJNA421472,3,421472,SRS2742173,SAMN08143833,simple,4932,Saccharomyces cerevisiae,GSM2879623,,,,,,,no,,,,,GEO,SRA636791,,public,E07DE0F96295FADE93D97BAD3B096346,6AA0FCCF1CD9ECFC310F440E1B9CBD03
SRR6357076,2018-12-21 10:48:20,2017-12-07 11:45:24,54935434,11096957668,54935434,202,3865,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR006/357/SRR6357076.sralite.1,SRX3453471,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP126328,PRJNA421472,3,421472,SRS2742175,SAMN08143850,simple,4932,Saccharomyces cerevisiae,GSM2879624,,,,,,,no,,,,,GEO,SRA636791,,public,701AEDDE8542893A37381CBCCF975355,0F218F27C74EB19CBCE4BAAFAEE36885
SRR6357077,2018-12-21 10:48:20,2017-12-07 11:47:24,57770345,11669609690,57770345,202,3939,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR006/357/SRR6357077.sralite.1,SRX3453472,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP126328,PRJNA421472,3,421472,SRS2742174,SAMN08143849,simple,4932,Saccharomyces cerevisiae,GSM2879625,,,,,,,no,,,,,GEO,SRA636791,,public,A8535006A897A6B782879F44165C6E58,D4F62A68BE6431E0DE8AC951C3B9ADF9
SRR6357078,2018-12-21 10:48:20,2017-12-07 11:44:15,47537967,9602669334,47537967,202,3273,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR006/357/SRR6357078.sralite.1,SRX3453473,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP126328,PRJNA421472,3,421472,SRS2742176,SAMN08143848,simple,4932,Saccharomyces cerevisiae,GSM2879626,,,,,,,no,,,,,GEO,SRA636791,,public,502040C1AAAA8D2F150BDA1E0721D062,2ECD31B217D97525C325FA18C208EDB7
SRR6357079,2018-12-21 10:48:20,2017-12-07 11:43:41,56870378,11487816356,56870378,202,3998,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR006/357/SRR6357079.sralite.1,SRX3453474,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP126328,PRJNA421472,3,421472,SRS2742177,SAMN08143847,simple,4932,Saccharomyces cerevisiae,GSM2879627,,,,,,,no,,,,,GEO,SRA636791,,public,C292CE27E639688F496E0B8CBE633FD9,6F73A6D3C6C73A8769641FDD3605A466
SRR6357080,2018-12-21 10:48:20,2017-12-07 11:48:41,59113530,11940933060,59113530,202,4016,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR006/357/SRR6357080.sralite.1,SRX3453475,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP126328,PRJNA421472,3,421472,SRS2742178,SAMN08143846,simple,4932,Saccharomyces cerevisiae,GSM2879628,,,,,,,no,,,,,GEO,SRA636791,,public,B0DFA05B76397820B2319704F4471389,1E00B01CEA75E5748647EEC52D298AF3
SRR6357081,2018-12-21 10:48:20,2017-12-07 11:55:51,48202638,9736932876,48202638,202,3266,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR006/357/SRR6357081.sralite.1,SRX3453476,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP126328,PRJNA421472,3,421472,SRS2742179,SAMN08143845,simple,4932,Saccharomyces cerevisiae,GSM2879629,,,,,,,no,,,,,GEO,SRA636791,,public,87D5721F4B0B50BE260A0D303B86446C,3F803FCBE6280DED3E82A5D3C6AACB52
SRR6357082,2018-12-21 10:48:20,2017-12-07 11:51:03,49654398,10030188396,49654398,202,4403,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR006/357/SRR6357082.sralite.1,SRX3453477,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP126328,PRJNA421472,3,421472,SRS2742180,SAMN08143844,simple,4932,Saccharomyces cerevisiae,GSM2879630,,,,,,,no,,,,,GEO,SRA636791,,public,1172F76EDFC97FFCD9AF8DE2C56F0ADA,5A26ABAB9656238F0755EFAE5501B7C2
SRR6357083,2018-12-21 10:48:20,2017-12-07 11:45:02,53739616,10855402432,53739616,202,4760,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR006/357/SRR6357083.sralite.1,SRX3453478,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP126328,PRJNA421472,3,421472,SRS2742181,SAMN08143843,simple,4932,Saccharomyces cerevisiae,GSM2879631,,,,,,,no,,,,,GEO,SRA636791,,public,514DD59DBBA81C2C50B135F655067664,8F7CC280C9B6721A5E7EDF2F551934EE
SRR6357084,2018-12-21 10:48:20,2017-12-07 11:40:13,48888766,9875530732,48888766,202,4346,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR006/357/SRR6357084.sralite.1,SRX3453479,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP126328,PRJNA421472,3,421472,SRS2742182,SAMN08143842,simple,4932,Saccharomyces cerevisiae,GSM2879632,,,,,,,no,,,,,GEO,SRA636791,,public,C18D307388086FA23B7FDC04537866ED,E2AA9F8FBF2F6CA5B403FF33854A9016
