experiment_code,day_period,omic_type,condition,seq_count
1,day,metataxonomics,water,47629288
2,day,metataxonomics,water,68628914
3,day,metataxonomics,water,547715
4,day,metataxonomics,drought,56006930
5,day,metataxonomics,drought,56259979
6,day,metataxonomics,drought,51876040
7,day,transcriptomics,water,54935434
8,day,transcriptomics,water,57770345
9,day,transcriptomics,water,47537967
10,day,transcriptomics,drought,56870378
11,day,transcriptomics,drought,591135
12,day,transcriptomics,drought,48202638
13,night,metataxonomics,water,49654398
14,night,metataxonomics,water,53739616
15,night,metataxonomics,water,48888766
16,night,metataxonomics,drought,50540353
17,night,metataxonomics,drought,57770345
18,night,metataxonomics,drought,55632304
19,night,transcriptomics,water,57040052
20,night,transcriptomics,water,39322607
21,night,transcriptomics,water,46749436
22,night,transcriptomics,drought,37205322
23,night,transcriptomics,drought,47401766
24,night,transcriptomics,drought,34166133
